Country, Publication_Date, Tags, Title, URL, Description
MENA, 2021-04-14, OpEd, "Toward ""Vaccine Internationalism"": The Need for an Equitable and Coordinated Global Vaccination: Approach to Effectively Combat COVID-19", "https://www.researchgate.net/profile/Brian-Wong-13/publication/350857223_Toward_'Vaccine_Internationalism'_The_Need_for_an_Equitable_and_Coordinated_Global_Vaccination_Approach_to_Effectively_Combat_COVID-19/links/6076dc52f41f751f32373691/Toward-Vaccine-Internationalism-The-Need-for-an-Equitable-and-Coordinated-Global-Vaccination-Approach-to-Effectively-Combat-COVID-19.pdf", 
MENA, 2021-04-19, OpEd, "How Middle East public attitudes have evolved, 1 year into COVID-19 pandemic", "https://www.arabnews.com/node/1844941/middle-east", 
MENA, 2021-04-16, OpEd, "The ACT Accelerator: heading in the right direction?", "https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00835-7/fulltext?dgcid=raven_jbs_etoc_email", 
MENA, 2021-04-18, News, "COVID-19: WHO EMRO Biweekly Situation Report #7- Epi Weeks 3-14 (28 March-10 April 2021)", "https://reliefweb.int/report/world/covid-19-who-emro-biweekly-situation-report-7-epi-weeks-3-14-28-march-10-april-2021", 
MENA, 2021-04-16, News, "Arab countries struggle with high vaccine hesitancy", "https://www.dw.com/en/middle-east-covid-vaccine-rollout-hesitancy/a-57227395",
MENA, 2021-04-14, News, "Middle Eastern countries ramp up their scientific publications", "https://www.sciencemag.org/news/2021/04/middle-eastern-countries-ramp-their-scientific-publications?utm_campaign=news_daily_2021-04-14&et_rid=34822472&et_cid=3734886",
MENA, 2021-04-18, News, "Gulf efforts through initiatives and governmental support to provide vaccines to poor countries", "https://alkhaleejonline.net/%D9%85%D8%AC%D8%AA%D9%85%D8%B9/%D8%B9%D8%A8%D8%B1-%D9%85%D8%A8%D8%A7%D8%AF%D8%B1%D8%A7%D8%AA-%D9%88%D8%AF%D8%B9%D9%85-%D8%AD%D9%83%D9%88%D9%85%D9%8A-%D8%AC%D9%87%D9%88%D8%AF-%D8%AE%D9%84%D9%8A%D8%AC%D9%8A%D8%A9-%D9%84%D8%AA%D9%88%D9%81%D9%8A%D8%B1-%D8%A7%D9%84%D9%84%D9%82%D8%A7%D8%AD%D8%A7%D8%AA-%D9%84%D9%84%D8%AF%D9%88%D9%84-%D8%A7%D9%84%D9%81%D9%82%D9%8A%D8%B1%D8%A9",
MENA, 2021-04-19, News|UNHCR, "Mideast refugees left behind in COVID-19 vaccine race", "https://www.scidev.net/global/news/great-variation-among-arabs-immunization-covid-19/", 
MENA, 2021-04-15, News, "WHO worried COVID-19 rates could spike during Ramadan", "https://www.arabnews.com/node/1843136/middle-east",
MENA, 2021-03-29, News, "The World Immunisation & Logistics Summit by HOPE Consortium, Bringing Leaders Together To Help Combat COVID-19", "https://hopeconsortium.com/news-media/world-summit/",
MENA, 2021-04-12, WHO, "Coronavirus pandemic ""a long way from over,"" WHO's Tedros says", "http://www.dailystar.com.lb/Life/Health/2021/Apr-12/519276-coronavirus-pandemic-a-long-way-from-over-whos-tedros-says.ashx", 
MENA, 2021-04-09, WHO|COVAX, "Global groups grapple with stretched COVID vaccine supply", "https://www.cidrap.umn.edu/news-perspective/2021/04/global-groups-grapple-stretched-covid-vaccine-supply", 
MENA, 2021-04-10, WHO, "WHO chief criticizes 'shocking' global vaccine divide", "https://www.bbc.com/news/world-56698854", 
